ID,Label
0,1
1,1
2,1
3,1
4,0
5,0
6,0
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,0
18,0
19,1
20,1
21,1
22,1
23,0
24,0
25,1
26,1
27,0
28,1
29,0
30,1
31,0
32,1
33,1
34,0
35,0
36,0
37,0
38,1
39,1
40,1
41,0
42,0
43,0
44,1
45,1
46,0
47,0
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,0
60,0
61,0
62,0
63,1
64,0
65,0
66,0
67,0
68,0
69,0
70,1
71,0
72,1
73,1
74,1
75,0
76,0
77,0
78,0
79,0
80,0
81,1
82,0
83,0
84,1
85,0
86,0
87,1
88,1
89,1
90,0
91,1
92,1
93,0
94,1
95,0
96,0
97,1
98,0
99,0
100,1
101,0
102,0
103,0
104,0
105,0
106,1
107,1
108,0
109,0
110,1
111,1
112,1
113,0
114,0
115,1
116,0
117,0
118,0
119,0
120,1
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,1
131,1
132,0
133,0
134,0
135,1
136,0
137,0
138,1
139,0
140,1
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,1
150,1
151,0
152,1
153,0
154,1
155,0
156,1
157,0
158,1
159,1
160,0
161,1
162,1
163,1
164,0
165,0
166,0
167,1
168,0
169,1
170,0
171,1
172,1
173,1
174,1
175,0
176,1
177,0
178,1
179,0
180,1
181,0
182,1
183,0
184,0
185,1
186,0
187,0
188,0
189,0
190,0
191,1
192,0
193,0
194,1
195,0
196,1
197,1
198,1
199,0
200,0
201,0
202,1
203,1
204,1
205,1
206,1
207,1
208,1
209,0
210,1
211,0
212,1
213,0
214,0
215,0
216,1
217,0
218,0
219,1
220,0
221,0
222,0
223,1
224,0
225,1
226,1
227,0
228,0
229,1
230,0
231,0
232,0
233,1
234,0
235,0
236,0
237,0
238,0
239,1
240,0
241,0
242,0
243,1
244,1
245,0
246,0
247,0
248,0
249,1
250,0
251,0
252,0
253,1
254,0
255,0
256,1
257,0
258,1
259,0
260,0
261,0
262,0
263,1
264,1
265,1
266,0
267,0
268,1
269,0
270,1
271,1
272,0
273,0
274,1
275,1
276,0
277,1
278,0
279,1
280,0
281,0
282,0
283,0
284,1
285,0
286,0
287,0
288,1
289,1
290,1
291,0
292,1
293,0
294,0
295,0
296,0
297,1
298,1
299,0
300,0
301,0
302,1
303,1
304,1
305,1
306,0
307,0
308,1
309,1
310,0
311,0
312,1
313,0
314,1
315,0
316,0
317,0
318,0
319,1
320,0
321,0
322,1
323,0
324,1
325,1
326,1
327,0
328,1
329,1
330,1
331,0
332,1
333,0
334,1
335,1
336,1
337,1
338,0
339,1
340,1
341,1
342,0
343,1
344,0
345,1
346,1
347,1
348,0
349,1
350,0
351,1
352,0
353,0
354,0
355,1
356,0
357,1
358,1
359,0
360,1
361,0
362,0
363,0
364,1
365,1
366,0
367,0
368,1
369,0
370,1
371,0
372,0
373,0
374,0
375,0
376,1
377,0
378,0
379,0
380,0
381,1
382,0
383,0
384,0
385,1
386,0
387,0
388,1
389,0
390,1
391,0
392,0
393,0
394,0
395,0
396,1
397,1
398,1
399,1
400,1
401,0
402,0
403,0
404,0
405,0
406,1
407,1
408,1
409,0
410,1
411,0
412,0
413,1
414,1
415,1
416,0
417,0
418,0
419,0
420,1
421,0
422,0
423,1
424,1
425,0
426,1
427,0
428,1
429,0
430,1
431,1
432,1
433,0
434,0
435,1
436,1
437,0
438,1
439,1
440,1
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,1
450,0
451,1
452,1
453,0
454,1
455,0
456,1
457,0
458,1
459,1
460,1
461,1
462,1
463,1
464,0
465,1
466,0
467,0
468,1
469,0
470,1
471,1
472,0
473,0
474,0
475,0
476,1
477,1
478,1
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,1
489,1
490,1
491,0
492,0
493,1
494,1
495,0
496,0
497,1
498,0
499,0
500,0
501,1
502,1
503,0
504,1
505,0
506,0
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,0
517,0
518,0
519,0
520,1
521,1
522,0
523,0
524,1
525,1
526,1
527,1
528,0
529,0
530,1
531,1
532,1
533,0
534,1
535,0
536,0
537,0
538,0
539,0
540,1
541,1
542,0
543,1
544,0
545,1
546,0
547,1
548,1
549,0
550,0
551,1
552,0
553,0
554,1
555,1
556,1
557,1
558,0
559,0
560,0
561,0
562,1
563,0
564,1
565,0
566,0
567,0
568,0
569,0
570,1
571,1
572,0
573,0
574,1
575,1
576,1
577,0
578,0
579,0
580,0
581,0
582,1
583,1
584,0
585,0
586,1
587,1
588,1
589,1
590,0
591,0
592,0
593,0
594,1
595,1
596,0
597,1
598,0
599,0
600,0
601,1
602,0
603,0
604,1
605,0
606,1
607,1
608,0
609,0
610,1
611,0
612,1
613,0
614,1
615,0
616,0
617,1
618,1
619,0
620,0
621,1
622,0
623,0
624,1
625,0
626,1
627,1
628,1
629,0
630,1
631,0
632,0
633,1
634,0
635,1
636,1
637,0
638,1
639,0
640,1
641,0
642,1
643,1
644,1
645,1
646,0
647,1
648,1
649,1
650,0
651,0
652,0
653,1
654,0
655,0
656,0
657,0
658,1
659,0
660,0
661,0
662,0
663,1
664,0
665,0
666,0
667,1
668,1
669,1
670,0
671,0
672,0
673,0
674,1
675,0
676,1
677,1
678,1
679,0
680,1
681,0
682,0
683,0
684,0
685,1
686,0
687,0
688,1
689,1
690,1
691,0
692,1
693,1
694,0
695,0
696,0
697,0
698,1
699,1
700,1
701,1
702,0
703,0
704,0
705,0
706,0
707,1
708,0
709,0
710,1
711,0
712,0
713,1
714,0
715,1
716,0
717,0
718,1
719,1
720,0
721,0
722,1
723,1
724,0
725,0
726,1
727,0
728,1
729,1
730,1
731,0
732,0
733,0
734,1
735,0
736,1
737,0
738,1
739,0
740,1
741,1
742,0
743,0
744,0
745,0
746,0
747,1
748,0
749,1
750,0
751,0
752,0
753,1
754,0
755,0
756,1
757,0
758,1
759,0
760,1
761,0
762,1
763,1
764,1
765,1
766,1
767,1
768,1
769,0
770,1
771,0
772,1
773,0
774,0
775,0
776,1
777,0
778,0
779,0
780,1
781,1
782,1
783,0
784,0
785,1
786,0
787,1
788,0
789,0
790,0
791,0
792,1
793,1
794,0
795,1
796,0
797,0
798,1
799,1
800,1
801,1
802,0
803,1
804,1
805,1
806,0
807,1
808,1
809,0
810,0
811,0
